idFactura,idCliente
1,61
2,10
3,4
4,21
5,74
6,4
7,31
8,3
9,13
10,10
11,66
12,98
13,77
14,63
15,3
16,46
17,80
18,99
19,36
20,81
21,59
22,78
23,95
24,63
25,59
26,65
27,42
28,58
29,1
30,8
31,86
32,3
33,18
34,67
35,80
36,64
37,19
38,92
39,66
40,42
41,14
42,96
43,17
44,42
45,92
46,66
47,74
48,92
49,23
50,46
51,51
52,46
53,36
54,79
55,79
56,25
57,8
58,13
59,28
60,81
61,32
62,25
63,46
64,63
65,46
66,45
67,78
68,15
69,48
70,46
71,39
72,51
73,40
74,36
75,14
76,19
77,74
78,67
79,4
80,38
81,46
82,19
83,93
84,62
85,60
86,2
87,96
88,12
89,39
90,58
91,8
92,69
93,91
94,45
95,75
96,32
97,98
98,61
99,39
100,27
101,89
102,61
103,1
104,90
105,39
106,98
107,2
108,61
109,20
110,79
111,57
112,50
113,1
114,79
115,9
116,77
117,1
118,51
119,21
120,90
121,45
122,66
123,13
124,19
125,83
126,75
127,47
128,60
129,65
130,46
131,10
132,7
133,22
134,82
135,80
136,86
137,97
138,92
139,43
140,90
141,90
142,87
143,8
144,63
145,72
146,11
147,77
148,45
149,80
150,19
151,75
152,39
153,78
154,54
155,38
156,65
157,95
158,19
159,81
160,38
161,41
162,22
163,63
164,9
165,81
166,2
167,67
168,93
169,70
170,21
171,7
172,18
173,90
174,30
175,26
176,35
177,38
178,4
179,88
180,23
181,13
182,88
183,84
184,78
185,16
186,20
187,37
188,74
189,61
190,48
191,96
192,18
193,74
194,85
195,61
196,70
197,36
198,60
199,6
200,48
201,73
202,83
203,54
204,58
205,95
206,19
207,83
208,35
209,44
210,37
211,16
212,96
213,29
214,58
215,56
216,82
217,63
218,47
219,62
220,51
221,6
222,23
223,31
224,83
225,9
226,19
227,51
228,28
229,37
230,47
231,37
232,18
233,8
234,66
235,89
236,76
237,2
238,36
239,57
240,41
241,1
242,29
243,77
244,21
245,10
246,48
247,71
248,38
249,95
250,8
251,97
252,69
253,68
254,17
255,13
256,45
257,16
258,85
259,58
260,96
261,36
262,83
263,59
264,48
265,21
266,100
267,79
268,35
269,11
270,10
271,84
272,88
273,38
274,91
275,88
276,88
277,92
278,3
279,86
280,85
281,63
282,59
283,65
284,88
285,40
286,42
287,28
288,40
289,87
290,30
291,19
292,78
293,18
294,75
295,39
296,46
297,84
298,5
299,21
300,13
301,87
302,75
303,43
304,27
305,97
306,93
307,80
308,48
309,22
310,39
311,43
312,79
313,39
314,21
315,63
316,83
317,15
318,28
319,2
320,96
321,80
322,58
323,94
324,67
325,96
326,12
327,85
328,89
329,3
330,38
331,92
332,79
333,48
334,22
335,59
336,88
337,22
338,67
339,2
340,18
341,37
342,89
343,26
344,39
345,14
346,23
347,27
348,78
349,32
350,77
351,98
352,38
353,53
354,38
355,85
356,83
357,16
358,87
359,45
360,91
361,61
362,55
363,91
364,33
365,24
366,53
367,87
368,16
369,52
370,32
371,32
372,96
373,95
374,85
375,91
376,10
377,40
378,18
379,42
380,77
381,74
382,20
383,79
384,10
385,42
386,37
387,65
388,67
389,36
390,12
391,89
392,22
393,58
394,78
395,10
396,66
397,15
398,92
399,16
400,21
401,97
402,70
403,63
404,46
405,29
406,9
407,31
408,28
409,10
410,28
411,1
412,3
413,3
414,85
415,90
416,3
417,32
418,27
419,73
420,59
421,9
422,12
423,48
424,44
425,80
426,65
427,41
428,76
429,67
430,79
431,53
432,93
433,10
434,41
435,67
436,63
437,92
438,97
439,23
440,32
441,78
442,87
443,37
444,7
445,61
446,80
447,65
448,29
449,70
450,13
451,11
452,32
453,35
454,49
455,38
456,53
457,85
458,32
459,12
460,13
461,42
462,57
463,96
464,2
465,17
466,36
467,96
468,37
469,40
470,87
471,98
472,88
473,74
474,80
475,67
476,93
477,85
478,28
479,2
480,90
481,57
482,36
483,54
484,90
485,11
486,16
487,100
488,70
489,36
490,21
491,29
492,2
493,37
494,8
495,34
496,71
497,58
498,91
499,33
500,12
501,13
502,40
503,37
504,78
505,67
506,59
507,75
508,28
509,51
510,85
511,32
